Qatar,70.81818181818181
Equateur,73.81818181818181
Sénégal,78.81818181818181
Pays-Bas,83.36363636363636
Angleterre,84.81818181818181
Iran,73.54545454545455
Etats-Unis,76.45454545454545
Pays de Galles,73.63636363636364
Argentine,83.63636363636364
Arabie saoudite,71.45454545454545
Mexique,78.18181818181819
Pologne,78.9090909090909
France,84.27272727272727
Australie,72.72727272727273
Danemark,80.0
Tunisie,72.63636363636364
Espagne,83.9090909090909
Costa Rica,73.45454545454545
Allemagne,85.36363636363636
Japon,75.72727272727273
Belgique,82.9090909090909
Canada,74.0909090909091
Maroc,79.36363636363636
Croatie,81.63636363636364
Brésil,84.54545454545455
Serbie,79.72727272727273
Suisse,79.0909090909091
Cameroun,75.27272727272727
Portugal,84.9090909090909
Ghana,76.9090909090909
Uruguay,81.0909090909091
Corée du Sud,75.0909090909091